19951009,IA
19951011,WI
19950103,WA
19950510,MO
19950614,WA
19951024,ND
19950419,ND
19950911,NV
19950214,WA
19950915,WA
19950220,WA
19950724,IL
19950612,MA
19950823,WA
19950416,GA
19950207,WA
19951117,FL
19950611,VA
19950514,NY
19950204,MT
19950911,FL
19951106,FL
19950628,ME
19950314,CA
19950307,NJ
19950516,OR
19950730,CT
19950822,AZ
19950207,WA
19950910,WA
19950328,AK
19950404,NJ
19950302,VA
19950222,WA
19950914,CT
19950825,MI
19950130,FL
19950829,ID
19950122,TN
19951024,AL
19950916,WA
19950426,OH
19950423,FL
19950222,WA
19950319,IN
19951116,CA
19950203,WI
19950607,CT
19950627,SD
19950809,CA
19950825,KS
19950307,NY
19950510,NH
19950913,TX
19950809,OR
19950204,WA
19950723,CA
19950322,WA
19950222,MO
19950312,VA
19950603,NC
19950103,CA
19950326,CA
19950804,WA
19950730,NC
19950612,IN
19951117,OR
19950312,SC
19950720,WA
19950416,PA
19950823,AZ
19950131,LA
19950914,MI
19951002,RI
19950718,NJ
19951003,CA
19951027,OR
19950615,UT
19950426,OR
19950823,WA
19950322,VA
19950706,WA
19950929,ME
19950929,CA
19951108,OR
19951009,WA
19950726,IL
19950821,WA
19950318,PA
19950620,CA
19950404,CA
19950619,MA
19950420,TX
19950914,AZ
19951112,NV
19951029,TN
19950425,OH
19950102,FL
19950806,WA
19950829,AZ
19950624,WA
19951111,WA
19951002,CA
19950517,CA
19950307,WA
19950612,WA
19950728,BC
19950729,WI
19950830,CA
19950210,WA
19950904,CO
19951002,CA
19951001,OR
19950206,IL
19950914,UT
19950320,CA
19950817,WA
19951001,OR
19950117,OR
19951007,MI
19950731,VA
19950108,MI
19950314,WA
19950921,AZ
19950516,NJ
19951003,CA
19950304,CA
19950929,CA
19950621,MO
19950204,CA
19950524,PA
19950217,MI
19950920,NV
19950925,MT
19950801,CA
19951103,CA
19950514,FL
19950604,WA
19950402,WA
19950124,TX
19950221,WA
19950926,OR
19951031,WA
19951101,WA
19951101,CT
19950318,CA
19950920,GA
19951112,WA
19950202,OR
19950107,TN
19950912,CO
19950301,WA
19950131,MI
19950612,CA
19950702,NV
19950514,NY
19950814,WA
19950715,WA
19950611,WA
19950801,ID
19950109,FL
19950612,CA
19950507,WA
19950327,IN
19950913,NJ
19950816,FL
19950828,OR
19950410,CA
19950820,IL
19950215,NY
19950523,WA
19950103,MI
19950122,WA
19950226,WA
19950807,CA
19950802,WA
19950306,OH
19950324,FL
19950922,LA
19951111,CA
19950212,KY
19950625,WA
19950123,VA
19950623,OH
19950831,WA
19951108,WA
19950319,FL
19950103,OR
19950210,VT
19950828,ND
19951117,MA
19950623,WA
19950820,OR
19950206,WA
19950614,FL
19950508,NY
19951110,WA
19950313,WA
19950309,FL
19950609,WA
19951118,WA
19950210,OR
19950310,OR
19950822,CA
19950220,WA
19950913,MT
19950524,TN
